Region
Cortical subplate-other
Claustrum
Endopiriform nucleus
Olfactory areas-other
Postpiriform transition area
Piriform area
Taenia tecta
Cortical amygdalar area
Piriform-amygdalar area
Main olfactory bulb
Accessory olfactory bulb
Anterior olfactory nucleus
Subiculum
Entorhinal area
Field CA1
Field CA2
Field CA3
Dentate gyrus
Anterior cingulate area
Infralimbic area
Retrosplenial area
Prelimbic area
Primary auditory area
Dorsal auditory area
Ventral auditory area
Agranular insular area
Ectorhinal area
Primary motor area
Secondary motor area
"Frontal pole, cerebral cortex"
Orbital area
Posterior parietal association areas
Perirhinal area
Primary somatosensory area
Supplemental somatosensory area
Temporal association areas
Visual areas
Pallidum
Striatum ventral region
Lateral septal complex
Caudoputamen
Medial amygdalar nucleus
Inferior colliculus
"Superior colliculus, sensory related"
Midbrain raphe nuclei
Midbrain-other
Periaqueductal gray
Medulla
Pons
Hypothalamus
Thalamus
Lingula (I)
Central lobule
Culmen
Declive (VI)
Folium-tuber vermis (VII)
Pyramus (VIII)
Uvula (IX)
Nodulus (X)
Simple lobule
Crus 1
Crus 2
Paramedian lobule
Copula pyramidis
Flocculus
Paraflocculus
Cerebellar nuclei
